price,delivery_time,number_of_transit_nodes,label
795510.0,33.0,2.0,1
616949.0,36.0,2.0,1
586523.0,-1.0,1.0,0
696502.0,39.0,2.0,1
878803.0,23.0,5.0,0
576885.0,42.0,5.0,1
508702.0,28.0,2.0,1
627592.0,19.0,6.0,0
593459.0,16.0,4.0,0
771481.0,16.0,4.0,0
717211.0,21.0,5.0,0
591295.0,11.0,3.0,0
781137.0,6.0,2.0,0
609278.0,25.0,0.0,0
657424.0,24.0,3.0,0
585136.0,28.0,1.0,1
705338.0,31.0,4.0,1
632458.0,30.0,2.0,1
871188.0,4.0,4.0,0
786951.0,29.0,2.0,1
695481.0,30.0,3.0,1
590212.0,36.0,3.0,1
561318.0,34.0,3.0,1
537240.0,7.0,-0.0,0
548541.0,37.0,2.0,1
545849.0,40.0,2.0,1
705000.0,12.0,6.0,0
870895.0,24.0,4.0,0
445389.0,20.0,1.0,0
603895.0,48.0,2.0,1
620111.0,27.0,1.0,1
637982.0,11.0,4.0,0
740401.0,31.0,1.0,1
741296.0,31.0,0.0,1
627873.0,9.0,-1.0,0
637934.0,8.0,2.0,0
644291.0,26.0,6.0,1
464100.0,39.0,2.0,1
576934.0,20.0,3.0,0
596386.0,32.0,3.0,1
528611.0,33.0,3.0,1
434354.0,22.0,-2.0,0
647358.0,22.0,3.0,0
699390.0,33.0,1.0,1
697676.0,30.0,3.0,1
670837.0,32.0,3.0,1
706576.0,20.0,6.0,0
843246.0,21.0,3.0,0
909913.0,38.0,1.0,1
684980.0,28.0,0.0,1
863259.0,42.0,-0.0,1
601860.0,14.0,1.0,0
667857.0,14.0,7.0,0
695076.0,26.0,6.0,1
539691.0,22.0,6.0,0
680095.0,10.0,-1.0,0
560833.0,17.0,4.0,0
721255.0,22.0,6.0,0
696966.0,24.0,4.0,0
678794.0,34.0,2.0,1
576047.0,9.0,2.0,0
705089.0,41.0,4.0,1
662288.0,41.0,4.0,1
626085.0,26.0,4.0,1
745831.0,31.0,1.0,1
457552.0,21.0,1.0,0
760406.0,11.0,3.0,0
689855.0,34.0,-1.0,1
746560.0,14.0,3.0,0
782936.0,28.0,3.0,1
529839.0,42.0,3.0,1
592939.0,25.0,4.0,0
499591.0,26.0,6.0,1
538348.0,29.0,6.0,1
623218.0,26.0,4.0,1
352173.0,21.0,3.0,0
770197.0,29.0,4.0,1
849239.0,36.0,3.0,1
609058.0,22.0,1.0,0
636600.0,34.0,3.0,1
399623.0,28.0,1.0,1
624511.0,38.0,4.0,1
715655.0,28.0,5.0,1
686719.0,24.0,5.0,0
627926.0,19.0,-0.0,0
616010.0,20.0,-2.0,0
509866.0,35.0,8.0,1
591951.0,25.0,5.0,0
497494.0,25.0,-0.0,0
630327.0,16.0,3.0,0
778829.0,19.0,1.0,0
677666.0,24.0,3.0,0
643078.0,35.0,2.0,1
602500.0,42.0,5.0,1
626118.0,24.0,3.0,0
631243.0,20.0,4.0,0
618703.0,17.0,3.0,0
566008.0,15.0,3.0,0
547509.0,10.0,1.0,0
740417.0,16.0,0.0,0
558617.0,45.0,-0.0,1
536341.0,21.0,4.0,0
540508.0,31.0,1.0,1
794048.0,34.0,6.0,1
556047.0,38.0,3.0,1
574620.0,25.0,6.0,0
567124.0,31.0,4.0,1
776993.0,29.0,3.0,1
757899.0,34.0,6.0,1
618144.0,28.0,4.0,1
736702.0,36.0,3.0,1
675483.0,30.0,2.0,1
657754.0,31.0,3.0,1
711222.0,32.0,6.0,1
614489.0,29.0,4.0,1
566928.0,24.0,2.0,0
361744.0,26.0,3.0,1
753762.0,16.0,2.0,0
624564.0,20.0,5.0,0
463059.0,20.0,0.0,0
625068.0,19.0,0.0,0
650511.0,24.0,4.0,0
721861.0,29.0,3.0,1
541093.0,13.0,6.0,0
587271.0,10.0,4.0,0
746038.0,23.0,1.0,0
667700.0,5.0,4.0,0
664723.0,28.0,2.0,1
768694.0,23.0,1.0,0
652651.0,35.0,6.0,1
736254.0,18.0,6.0,0
681371.0,15.0,4.0,0
682899.0,22.0,-1.0,0
696866.0,24.0,3.0,0
512284.0,30.0,3.0,1
637090.0,15.0,5.0,0
751773.0,38.0,6.0,1
547318.0,25.0,0.0,0
486246.0,20.0,3.0,0
542480.0,35.0,2.0,1
582933.0,8.0,4.0,0
759803.0,33.0,2.0,1
584695.0,45.0,4.0,1
691618.0,17.0,5.0,0
649377.0,23.0,4.0,0
733744.0,38.0,2.0,1
664917.0,32.0,5.0,1
696337.0,37.0,-0.0,1
481232.0,19.0,4.0,0
716970.0,38.0,3.0,1
781733.0,34.0,5.0,1
652079.0,7.0,1.0,0
637819.0,32.0,4.0,1
599435.0,24.0,4.0,0
627076.0,41.0,4.0,1
666907.0,26.0,3.0,1
696570.0,17.0,8.0,0
636673.0,27.0,8.0,1
750300.0,46.0,4.0,1
612657.0,45.0,2.0,1
677235.0,19.0,5.0,0
650704.0,21.0,1.0,0
674359.0,20.0,1.0,0
713991.0,21.0,3.0,0
634739.0,36.0,3.0,1
576582.0,19.0,-0.0,0
645182.0,24.0,5.0,0
634925.0,18.0,3.0,0
698365.0,24.0,2.0,0
625256.0,24.0,5.0,0
726194.0,17.0,6.0,0
540012.0,40.0,4.0,1
683116.0,32.0,6.0,1
631404.0,15.0,4.0,0
502320.0,32.0,4.0,1
714701.0,11.0,4.0,0
622167.0,23.0,1.0,0
602635.0,15.0,5.0,0
814315.0,42.0,2.0,1
663523.0,26.0,1.0,1
698522.0,34.0,3.0,1
696500.0,21.0,4.0,0
757051.0,29.0,1.0,1
666434.0,22.0,1.0,0
857330.0,29.0,1.0,1
546734.0,28.0,3.0,1
798508.0,28.0,6.0,1
671978.0,29.0,3.0,1
582885.0,26.0,2.0,1
832535.0,30.0,-0.0,1
634937.0,25.0,1.0,0
666112.0,22.0,2.0,0
668498.0,30.0,2.0,1
725504.0,36.0,2.0,1
522074.0,22.0,3.0,0
610506.0,44.0,2.0,1
681725.0,17.0,2.0,0
671194.0,18.0,2.0,0
612211.0,24.0,3.0,0
697331.0,44.0,7.0,1
605109.0,28.0,5.0,1
659528.0,21.0,2.0,0
640369.0,19.0,8.0,0
684277.0,21.0,3.0,0
